identity_confidence,income_confidence,foir,cibil_score_normalized,cashflow_stability,employment_tier,loan_to_income_ratio,label
0.8441,0.7992,0.9643,0.5271,0.8399,4,5.0832,0.429
0.8615,0.8103,0.5916,0.7554,0.9171,3,7.9039,0.542
0.4602,0.8315,0.2295,0.6569,0.699,4,7.9924,0.4848
0.9825,0.8338,0.5258,0.566,0.8046,5,4.5273,0.5924
0.8038,0.7765,0.4398,0.371,0.6876,4,5.7895,0.491
0.8776,0.6042,0.0966,0.8446,0.3627,4,1.4954,0.6887
0.7519,0.381,0.5193,0.7222,0.706,2,1.6199,0.5464
0.9083,0.6657,0.2868,0.7127,0.593,3,4.9457,0.5842
0.8225,0.7961,0.3146,0.6051,0.8304,3,7.3465,0.5543
0.9725,0.8948,0.8991,0.7341,0.7617,3,7.8042,0.5775
0.6016,0.7239,0.6571,0.6901,0.8677,1,1.3156,0.621
0.7059,0.9415,0.6397,0.8544,0.9169,4,3.1943,0.573
0.9268,0.8251,0.5673,0.8624,0.3936,5,1.135,0.6397
0.7495,0.7055,0.3654,0.6925,0.7772,2,5.9847,0.5355
0.8476,0.8905,1.0,0.9544,0.7869,4,3.6576,0.6112
0.6431,0.596,0.361,0.5026,0.8092,3,6.4953,0.4557
0.9622,0.8207,0.3809,0.9018,0.4986,3,5.7921,0.6131
0.8782,0.7445,0.6713,0.8274,0.9169,2,2.6247,0.6486
0.9121,0.7393,0.6011,0.9054,0.5302,2,1.055,0.6923
0.7932,0.9493,0.3852,0.8224,0.8642,5,5.4845,0.5893
0.7482,0.5991,1.0,0.7792,0.7222,5,1.18,0.4159
0.5177,0.7792,0.5959,0.721,0.9309,2,4.5046,0.4922
0.9687,0.8644,1.0,0.6537,0.7031,3,1.7802,0.5517
0.505,0.7912,0.146,0.8992,0.6633,5,0.8052,0.6419
0.6352,0.84,0.6693,0.788,0.8745,5,5.2039,0.4963
0.8968,0.9182,0.8434,0.7747,0.6917,3,3.0072,0.5781
0.9718,0.9475,0.7996,0.6072,0.712,3,7.1787,0.5994
0.9172,0.9104,0.2579,0.6125,0.883,5,1.1486,0.8054
0.7815,0.7136,0.605,0.4613,0.8898,1,5.9884,0.5261
0.9236,0.5338,0.0571,0.7493,0.9299,2,0.7454,0.7685
0.6291,0.746,0.3949,0.9168,0.8354,4,2.5786,0.6465
0.9247,0.8899,0.569,0.5321,0.6464,3,5.2046,0.57
0.7433,0.7066,0.251,0.8162,0.5484,3,2.7806,0.6669
0.7343,0.8966,0.5701,0.8971,0.7559,1,2.8771,0.7066
0.7553,0.801,0.1703,0.6775,0.8438,3,7.3016,0.5732
0.9368,0.6989,0.4308,0.6352,0.7979,5,7.3134,0.5641
0.8233,0.6593,0.3286,0.351,0.561,3,4.6686,0.4862
0.7666,0.6089,0.1968,0.7894,0.9116,5,1.0004,0.6353
0.8193,0.7404,0.9151,0.6363,0.6571,3,6.2483,0.4485
0.6373,0.7572,0.1951,0.8673,0.5406,3,4.4907,0.5962
0.9323,0.7686,0.7409,0.9388,0.8229,2,1.4766,0.7338
0.9708,0.9654,0.2693,0.8932,0.8522,5,7.6159,0.7212
0.7725,0.9142,0.1275,0.9173,0.7315,5,1.8564,0.7333
0.9039,0.8753,1.0,0.5008,0.9231,3,5.5935,0.5104
0.7336,0.9367,0.7582,0.8984,0.6711,2,6.4212,0.5365
0.8299,0.9137,0.7847,0.8086,0.8372,4,6.2568,0.5226
0.7932,0.7825,0.5051,0.3281,0.5805,4,5.4506,0.4472
0.7935,0.7513,0.2513,0.6871,0.9477,3,6.9753,0.5729
0.8851,0.854,0.8817,0.502,0.7722,4,6.4036,0.4934
0.8656,0.8907,0.1722,0.8645,0.8357,3,3.8992,0.6946
0.9816,0.9319,0.6489,0.629,0.8494,2,3.7654,0.6288
0.7109,0.7866,0.3271,0.7343,0.71,4,5.44,0.6039
0.9622,0.4221,0.372,0.4318,0.8284,2,1.4171,0.6236
0.6995,0.9003,0.4291,0.7668,0.5061,3,5.8675,0.5296
0.8449,0.894,0.5922,0.8995,0.6376,3,0.7541,0.7546
0.6808,0.7847,0.2537,0.9261,0.8967,3,2.8529,0.6421
0.6738,0.6919,0.7806,0.4174,0.7891,5,7.1326,0.3885
0.8493,0.8627,0.4123,0.5973,0.8821,2,6.9645,0.6829
0.8494,0.8053,0.5791,0.7997,0.8745,4,5.6514,0.557
0.8862,0.5978,0.9957,0.7902,0.7342,5,1.4894,0.4733
0.9027,0.7779,0.3131,0.8278,0.9424,2,0.769,0.7874
0.8404,0.5958,0.3971,0.5962,0.9203,4,7.1553,0.5704
0.5034,0.947,1.0,0.8255,0.7492,1,5.3273,0.4568
0.7312,0.5652,0.9814,0.7837,0.3458,3,7.1406,0.364
0.8236,0.8716,0.1334,0.7664,0.7493,3,1.6145,0.8086
0.9104,0.8952,0.7255,0.6304,0.8582,2,4.9041,0.6237
0.7403,0.5944,0.8332,0.4488,0.6846,3,5.5535,0.3668
0.9722,0.8447,0.3905,0.4706,0.6636,3,6.7538,0.5601
0.7169,0.8133,0.4825,0.6973,0.6727,5,3.1007,0.5629
0.8214,0.8091,1.0,0.5717,0.6121,3,2.6184,0.4952
0.9411,0.8446,0.6051,0.4362,0.7077,1,7.0829,0.5597
0.7659,0.9271,1.0,0.8327,0.9,2,1.5333,0.6467
0.8837,0.8139,0.1208,0.6224,0.6709,3,6.8929,0.6436
0.6565,0.5753,0.9941,0.764,0.6592,4,7.3192,0.3248
0.7161,0.5689,0.4928,0.9114,0.9135,2,1.1961,0.6178
0.9766,0.6839,0.1266,0.7395,0.7654,3,2.634,0.7116
0.7867,0.8607,0.4989,0.7674,0.7828,3,3.6757,0.5557
0.9233,0.8389,0.7961,0.9002,0.5407,2,4.1444,0.6091
0.8207,0.936,0.6007,0.6576,0.689,4,4.2857,0.5387
0.8526,0.9048,0.2905,0.6474,0.7736,3,1.9432,0.7304
0.96,0.964,0.2018,0.717,0.8624,2,2.4167,0.8212
0.735,0.8137,0.7109,0.7863,0.9123,3,4.1313,0.5689
0.8738,0.8742,0.601,0.7711,0.6084,3,0.8411,0.6905
0.9091,0.8324,0.8092,0.7203,0.4001,4,3.5987,0.4876
0.7802,0.69,0.4467,0.5076,0.4674,3,1.1747,0.5716
0.8378,0.6536,0.3416,0.7087,0.7012,2,0.9879,0.6721
0.8606,0.7836,0.8241,0.6272,0.5261,2,5.6013,0.4526
0.9167,0.937,0.2603,0.5193,0.6623,2,2.3781,0.7275
0.7723,0.7163,0.9374,0.7118,0.632,4,4.6944,0.4181
0.8167,0.8386,0.8557,0.8467,0.5288,3,5.9347,0.5258
0.8565,0.8384,0.9626,0.8374,0.4271,4,5.7109,0.5024
0.8013,0.9586,0.4653,0.8932,0.7762,3,6.2415,0.6289
0.4612,0.5609,0.1078,0.6677,0.4497,5,7.1125,0.4371
0.771,0.8949,0.5865,0.473,0.9477,4,0.9865,0.6402
0.7408,0.86,0.6753,0.6426,0.7244,3,7.5162,0.4823
0.7377,0.7665,0.3215,0.8087,0.4389,3,6.394,0.5789
0.8084,0.9114,0.8442,0.827,0.7505,2,3.4813,0.6005
0.6477,0.703,0.2138,0.7586,0.9502,4,3.0487,0.6741
0.8217,0.973,0.555,0.8336,0.9047,1,5.6677,0.634
0.7774,0.9598,0.3121,0.5676,0.9541,3,5.8225,0.6288
0.7949,0.8977,0.4349,0.8023,0.6716,4,2.7309,0.6128
0.7472,0.7774,0.4501,0.5342,0.8488,2,3.882,0.5415
0.7674,0.8674,1.0,0.8296,0.707,4,5.5804,0.4825
0.653,0.681,0.7558,0.8801,0.7688,4,2.1543,0.5623
0.9445,0.6674,0.4612,0.6988,0.5012,3,1.005,0.6655
0.9397,0.6783,0.774,0.8692,0.6675,3,7.9129,0.5468
0.6179,0.8592,0.6652,0.61,0.4828,5,5.3603,0.4244
0.9232,0.9317,0.764,0.8412,0.8374,4,7.4886,0.5897
0.628,0.9257,0.3046,0.5915,0.8292,4,7.4115,0.5474
0.8485,0.9388,0.4976,0.3348,0.6007,3,0.7912,0.6491
0.8323,0.8778,0.5768,0.9601,0.6486,2,3.916,0.6314
0.6884,0.8074,0.6174,0.7238,0.7153,2,1.5704,0.6001
0.8707,0.7741,0.1998,0.6294,0.7839,2,7.267,0.5961
0.9205,0.8368,0.8159,0.9102,0.4177,3,7.1761,0.5523
0.8321,0.583,0.733,0.7562,0.8492,5,6.5946,0.4837
0.7355,0.7745,0.1948,0.7164,0.5981,5,4.2848,0.5802
0.7984,0.9137,0.3329,0.9326,0.8624,5,1.4232,0.7693
0.7632,0.8612,0.3117,0.5203,0.8645,4,7.5291,0.5987
0.8782,0.851,0.7142,0.7039,0.8643,3,1.594,0.6313
0.8883,0.5922,0.6879,0.7827,0.7989,4,7.9274,0.4458
0.8343,0.9366,0.3513,0.8721,0.7952,4,0.5685,0.7723
0.9303,0.9517,0.6909,0.5193,0.6592,4,6.333,0.4998
0.9187,0.9331,1.0,0.5972,0.5174,3,1.2458,0.6524
0.8329,0.8482,0.9494,0.7838,0.7741,5,0.7625,0.628
0.8055,0.8635,0.6506,0.7016,0.7986,2,5.1673,0.5803
0.8169,0.6534,0.2888,0.7084,0.6228,3,1.0814,0.6813
0.6837,0.8738,0.1408,0.7052,0.6016,3,5.056,0.6168
0.731,0.9828,0.31,0.6437,0.7693,3,7.5626,0.6038
0.9152,0.9307,0.1395,0.8507,0.7711,5,5.7341,0.6539
0.8112,0.7443,0.7885,0.655,0.9166,3,7.6436,0.5193
0.8327,0.9301,0.2622,0.6399,0.6522,3,0.5387,0.7732
0.7773,0.9263,0.3943,0.8175,0.6371,3,7.0289,0.5961
0.9457,0.932,0.6504,0.6116,0.7866,4,3.4164,0.6308
0.8872,0.6505,0.2487,0.7272,0.898,2,5.7985,0.6302
0.8526,0.8456,0.3848,0.6608,0.7657,3,2.8988,0.6696
0.8015,0.7902,0.6594,0.6592,0.8015,2,6.0694,0.5351
0.8466,0.7055,0.7084,0.4624,0.7571,1,3.6425,0.5644
0.4812,0.4551,0.6026,0.6353,0.8241,4,7.0937,0.3389
0.7718,0.6592,0.1537,0.7134,0.5581,4,3.5626,0.5751
0.5104,0.7743,0.2138,0.4475,0.6073,3,0.6579,0.5944
0.7706,0.7377,0.8533,0.8886,0.9425,5,1.2975,0.5927
0.8402,0.8498,0.1216,0.6896,0.4892,2,1.7717,0.7077
0.6398,0.9484,0.8401,0.7306,0.9948,2,5.4189,0.5129
0.8431,0.8826,0.4791,0.7686,0.7888,3,4.4936,0.647
0.8308,0.6981,0.6526,0.8854,0.9284,4,3.331,0.6665
0.7028,0.9784,0.819,0.6869,0.5154,2,1.6692,0.6113
0.9863,0.8108,0.914,0.8877,0.8743,3,6.8128,0.5758
0.5917,0.9204,0.7294,0.7639,0.4099,1,2.8594,0.5211
0.8134,0.9506,0.5348,0.6689,0.2657,4,6.2662,0.5644
0.7393,0.8323,0.953,0.8866,0.8753,3,7.7671,0.5633
0.7936,0.5206,0.2688,0.5381,0.6189,2,3.2505,0.5989
0.7754,0.8328,0.9372,0.539,0.9035,5,7.4187,0.3746
0.8917,0.8964,0.2114,0.5136,0.6874,5,7.6448,0.5909
0.9539,0.6808,0.4254,0.6706,0.5062,1,5.5097,0.5531
0.7102,0.783,0.5631,0.7321,0.8508,2,7.6428,0.5818
0.935,0.7112,0.574,0.8942,0.6453,3,6.8382,0.5634
0.8935,0.9637,0.6093,0.9426,0.7139,2,4.0218,0.7278
0.8884,0.8504,0.9213,0.8566,0.765,5,7.9462,0.5608
0.872,0.8337,0.8438,0.9012,0.5441,3,2.4517,0.5296
0.7649,0.7258,0.1186,0.767,0.5579,4,5.4444,0.5584
0.6974,0.8269,0.2148,0.8154,0.8193,3,2.8519,0.7275
0.6775,0.9152,0.4116,0.931,0.8211,2,2.1482,0.681
0.9022,0.6943,0.7351,0.8482,0.8156,5,4.1587,0.5595
0.7984,0.8335,0.5056,0.5328,0.7324,4,3.2897,0.5527
0.8932,0.8311,0.8973,0.6008,0.4638,5,3.6593,0.4914
0.7353,0.8881,0.3759,0.4039,0.761,3,3.45,0.6018
0.6469,0.6451,0.1557,0.2892,0.9172,2,7.6036,0.5383
0.8889,0.8839,0.7575,0.638,0.7989,2,1.121,0.6833
0.7437,0.9716,0.1829,0.8781,0.6618,5,4.351,0.6632
0.8333,0.6022,0.2635,0.8761,0.5797,2,1.2336,0.677
0.8487,0.7714,0.3949,0.9166,0.6773,4,3.4393,0.6799
0.8023,0.9423,0.7947,0.8837,0.4662,2,1.0773,0.6906
0.7958,0.8923,0.7847,0.6912,0.7077,1,3.1447,0.5795
0.9476,0.8266,0.7969,0.528,0.8966,5,3.4327,0.4888
0.8537,0.7582,0.3226,0.8981,0.8269,4,0.6169,0.7735
0.8762,0.8376,0.8828,0.8019,0.5418,4,5.2778,0.4951
0.93,0.7353,0.306,0.6868,0.7109,5,3.7767,0.6368
0.6591,0.8206,0.6091,0.8494,0.5305,4,3.4449,0.5625
0.6123,0.9521,0.9368,0.9221,0.9439,2,6.0532,0.5026
0.8872,0.7554,0.2099,0.8788,0.6436,5,5.1287,0.6155
0.8978,0.7203,0.4108,0.7617,0.5951,3,4.7316,0.6046
0.7787,0.8858,0.4319,0.6021,0.5909,2,5.8639,0.5684
0.7407,0.7171,0.4583,0.9191,0.9448,2,1.2241,0.7609
0.6857,0.8927,0.4411,0.8702,0.6406,2,3.7814,0.6684
0.8908,0.8274,0.4463,0.6493,0.6062,3,4.053,0.5768
0.951,0.9359,0.5341,0.7878,0.4671,5,4.2504,0.6356
0.6896,0.8512,0.6539,0.7033,0.5066,1,7.8579,0.5491
0.7998,0.9541,0.7545,0.2949,0.716,1,6.2426,0.4909
0.8544,0.8952,0.1325,0.6229,0.9351,2,0.8279,0.7849
0.6997,0.8193,0.6001,0.7319,0.6152,1,7.2532,0.5665
0.8964,0.833,0.2481,0.8975,0.8942,3,4.2152,0.7246
0.8103,0.6323,0.0401,0.8123,0.7005,4,6.0156,0.5846
0.6982,0.805,0.9947,0.719,0.6665,4,5.06,0.4415
0.8883,0.9492,0.4572,0.7245,0.7841,1,1.3583,0.7916
0.9139,0.7835,0.7454,0.9229,0.7943,4,3.6198,0.5585
0.5413,0.7955,1.0,0.7387,0.7858,4,0.7445,0.4661
0.9556,0.7095,0.2647,0.4721,0.7487,2,6.2573,0.5751
0.9113,0.905,0.646,0.7654,0.6967,1,3.6577,0.6749
0.5644,0.7825,0.9116,0.4914,0.6081,3,3.5666,0.3528
0.9028,0.8808,0.4299,0.6179,0.7675,2,1.8381,0.7294
0.5833,0.7048,0.4085,0.7951,0.9424,4,6.1615,0.5801
0.7043,0.8711,0.7151,0.851,0.3849,3,2.5708,0.5759
0.6907,0.7925,0.5304,0.709,0.875,5,7.6312,0.5397
0.9113,0.716,0.7264,0.6345,0.693,2,7.1067,0.4745
0.7837,0.9267,0.6909,0.8297,0.5555,2,3.4353,0.5756
0.8643,0.6626,0.5438,0.9288,0.8284,3,3.2157,0.6344
0.7198,0.8604,0.204,0.7992,0.8688,4,5.4146,0.657
0.9302,0.9839,0.4554,0.7106,0.8169,2,5.4204,0.6994
0.9353,0.811,0.7266,0.5917,0.8324,3,2.3748,0.6432
0.7693,0.8959,0.233,0.1882,0.649,4,4.3582,0.5768
0.9627,0.8518,0.228,0.6879,0.7565,4,4.4186,0.6451
0.8165,0.8117,0.4802,0.5935,0.5843,1,4.0152,0.5689
0.693,0.8893,0.4303,0.9169,0.8634,4,4.9049,0.6014
0.905,0.8745,1.0,0.5749,0.7584,3,3.3298,0.5053
0.8485,0.6109,0.6521,0.7723,0.736,4,5.9637,0.4951
0.8017,0.806,0.74,0.6258,0.8253,5,6.1294,0.5178
0.8124,0.9494,0.1483,0.9425,0.7261,3,7.5823,0.6289
0.5962,0.8548,0.4875,0.7252,0.7822,1,5.9716,0.5449
0.7859,0.6659,0.2609,0.8179,0.4805,3,4.8402,0.5363
0.7767,0.6829,0.3042,0.8022,0.748,3,3.2921,0.6604
0.9606,0.9868,0.7082,0.4525,0.778,2,3.2991,0.6057
0.5078,0.8947,0.0364,0.9443,0.8438,5,2.8196,0.7233
0.8567,0.8243,0.3457,0.5966,0.6556,1,1.4638,0.7135
0.696,0.942,0.8861,0.8453,0.8932,2,3.7655,0.5569
0.8002,0.9603,0.3679,0.603,0.9831,3,3.3799,0.6457
0.9096,0.8334,0.4819,0.7817,0.8249,3,1.9821,0.7144
0.8664,0.7629,0.4472,0.8016,0.9495,2,1.1304,0.7767
0.8897,0.6669,0.7312,0.7157,0.9086,2,2.774,0.6225
0.8864,0.6424,0.8537,0.6519,0.7293,2,4.9931,0.4958
0.8153,0.562,0.6875,0.6884,0.5148,1,6.8922,0.4576
0.9023,0.845,0.2005,0.9516,0.8421,2,5.0534,0.7191
0.7094,0.5912,0.4996,0.8696,0.7139,3,3.9794,0.5217
0.9097,0.8923,0.3677,0.4321,0.6252,1,3.2772,0.6532
0.6192,0.8004,0.4364,0.7976,0.7585,1,0.7424,0.6287
0.9555,0.9056,1.0,0.8144,0.6859,3,3.7144,0.5816
0.8849,0.9243,0.1768,0.6673,0.7266,2,2.6632,0.7591
0.8,0.8413,0.9498,0.943,0.7763,4,7.9709,0.4674
0.8758,0.8913,0.8382,0.8046,0.7265,3,7.3453,0.5657
0.729,0.9005,0.5451,0.5939,0.835,4,5.3811,0.5348
0.7474,0.9147,0.6041,0.7357,0.7409,2,4.1542,0.6379
0.5675,0.6794,0.0088,0.5915,0.7808,3,2.816,0.5405
0.7788,0.7644,0.4588,0.8899,0.8716,3,4.7826,0.6266
0.565,0.9431,0.8973,0.7955,0.5165,3,3.4516,0.4459
0.8368,0.7585,0.4679,0.814,0.8953,2,4.0976,0.6567
0.7774,0.9259,0.3607,0.8743,0.6381,2,1.6281,0.7312
0.6487,0.5906,0.403,0.546,0.6207,1,4.463,0.5084
0.9874,0.4286,0.4399,0.5674,0.9386,3,7.9471,0.5206
0.8065,0.9578,0.3121,0.8233,0.5362,3,5.4905,0.5795
0.8853,0.8121,0.86,0.6567,0.7001,4,3.3531,0.5042
0.8735,0.8404,0.9171,0.8804,0.5115,5,3.1601,0.5434
0.907,0.9272,0.3662,0.5407,0.3879,4,3.2878,0.604
0.8731,0.833,0.8639,0.6661,0.6987,2,4.0677,0.548
0.7654,0.6916,0.618,0.8683,0.8831,2,5.4453,0.5083
0.8002,0.8659,1.0,0.8275,0.6787,3,3.0793,0.6125
0.7929,0.7202,0.2197,0.6406,0.7791,5,1.4467,0.6697
0.7942,0.8047,0.0997,0.5707,0.7359,2,5.2573,0.6593
0.8818,0.879,0.3323,0.7359,0.6357,3,1.9503,0.72
0.934,0.884,0.5219,0.5922,0.6845,5,5.6858,0.5475
0.9206,0.5977,0.8626,0.8661,0.8879,2,4.2123,0.4995
0.5787,0.8539,0.3906,0.6398,0.7571,5,4.8001,0.4837
0.6366,0.9783,0.2271,0.8187,0.8107,2,6.2811,0.6244
0.6047,0.8284,0.8083,0.7339,0.8709,5,5.7517,0.436
0.7958,0.9494,0.335,0.9445,0.7616,5,2.3401,0.7235
0.6878,0.7575,0.7638,0.82,0.8576,5,2.3517,0.5896
0.8036,0.7191,0.6616,0.9264,0.6842,1,3.107,0.6239
0.7391,0.8328,0.7088,0.7305,0.6708,3,1.3976,0.5984
0.6975,0.9146,0.909,0.8638,0.4156,3,1.8842,0.5433
0.7613,0.9567,0.2615,0.4292,0.7855,2,7.0407,0.6201
0.8606,0.924,0.0678,0.8167,0.4125,5,4.6099,0.633
0.7773,0.8734,0.178,0.8376,0.6204,3,4.5979,0.6728
0.7596,0.7644,0.2529,0.9529,0.577,3,0.8541,0.7241
0.7664,0.6236,0.0875,0.6996,0.5777,5,0.5355,0.6949
0.542,0.9534,0.3059,0.4863,0.6868,2,7.2581,0.5559
0.8502,0.8864,0.2255,0.7843,0.6903,2,6.6716,0.6315
0.8562,0.7232,0.5084,0.7541,0.8945,4,1.9173,0.6572
0.8626,0.7832,0.5688,0.8559,0.6329,3,5.1394,0.5898
0.783,0.752,1.0,0.9276,0.7936,3,3.8725,0.5105
0.8054,0.8611,0.4472,0.7686,0.7105,4,3.8292,0.5657
0.844,0.9149,0.2331,0.7255,0.8962,4,2.7524,0.7472
0.9052,0.7133,0.5437,0.609,0.8309,3,7.0102,0.5004
0.7928,0.5929,0.1766,0.8091,0.6912,3,6.7119,0.5304
0.7332,0.7043,0.275,0.9002,0.8282,2,0.6497,0.7475
0.9212,0.8939,0.2314,0.3938,0.9311,4,0.6197,0.7778
0.8587,0.8071,0.198,0.5479,0.6773,5,5.1813,0.557
0.8239,0.8771,0.8915,0.8278,0.7552,4,6.5467,0.5184
0.6099,0.7775,1.0,0.9262,0.4381,1,2.903,0.4998
0.9026,0.8828,0.4909,0.8861,0.7034,2,3.6989,0.7
0.9516,0.7246,0.168,0.937,0.7022,3,6.2256,0.6276
0.8829,0.6602,0.2787,0.633,0.9059,2,1.2113,0.7035
0.8123,0.626,0.5123,0.8858,0.5837,3,1.4139,0.6417
0.583,0.8794,0.4487,0.6286,0.8574,3,7.7835,0.5362
0.7523,0.8417,0.6183,0.9005,0.8687,4,0.9427,0.7209
0.8197,0.8737,0.4636,0.6139,0.7275,3,6.6394,0.5937
0.6375,0.6116,0.8856,0.6688,0.8034,3,3.2662,0.4444
0.7446,0.8765,0.1036,0.9021,0.8427,4,4.1934,0.6557
0.9253,0.95,0.2842,0.6651,0.5851,4,5.527,0.6225
0.5961,0.9688,0.9584,0.8559,0.9047,3,1.699,0.6047
0.8595,0.7124,0.7421,0.7729,0.5657,3,0.9078,0.654
0.8166,0.8104,0.7197,0.7917,0.9812,1,3.838,0.6044
0.614,0.9006,0.6465,0.8816,0.9226,4,3.9143,0.4931
0.8545,0.8624,0.127,0.2902,0.7364,2,5.5343,0.6273
0.8093,0.6628,1.0,0.8485,0.8422,3,4.8516,0.4545
0.6975,0.9003,0.3873,0.7463,0.7506,4,6.6851,0.5271
0.8582,0.7938,0.5252,0.7256,0.843,3,6.1367,0.61
0.72,0.9182,0.4313,0.8705,0.5591,3,2.0634,0.6368
0.9597,0.9233,0.44,0.6757,0.4363,4,5.8671,0.6076
0.8939,0.9167,0.787,0.7558,0.7167,3,7.267,0.5505
0.9141,0.8631,0.4316,0.5676,0.8692,5,4.7208,0.6056
0.7797,0.8306,0.9291,0.3707,0.5229,3,7.9739,0.3832
0.8263,0.9214,0.3316,0.7484,0.4662,4,1.5958,0.7108
0.7021,0.6921,0.5624,0.6015,0.4222,2,5.1117,0.4719
0.9249,0.7872,0.6903,0.8667,0.7198,4,5.7144,0.4936
0.838,0.7987,0.6894,0.6354,0.8202,2,6.693,0.5054
0.6772,0.7763,0.3702,0.7642,0.8541,2,4.7614,0.5806
0.7643,0.8269,0.4182,0.8367,0.5591,4,2.0367,0.6771
0.843,0.8904,0.7421,0.917,0.7294,2,2.1526,0.6438
0.7868,0.9041,0.2013,0.7392,0.6473,3,2.9156,0.6541
0.892,0.8557,0.3474,0.5948,0.5836,3,6.5008,0.5903
0.8249,0.9514,0.5236,0.569,0.9313,3,2.6986,0.6772
0.8668,0.4731,0.8631,0.6212,0.9814,4,4.3493,0.4169
0.8821,0.8459,0.9379,0.7388,0.6071,3,3.5292,0.4593
0.7036,0.8027,0.7181,0.7496,0.6459,2,6.989,0.4855
0.7981,0.8584,0.53,0.9276,0.8947,3,3.3992,0.6415
0.8115,0.8926,0.4885,0.7432,0.2475,3,2.637,0.5842
0.8536,0.9633,1.0,0.6424,0.8363,3,0.8142,0.6106
0.7706,0.8264,0.5252,0.4915,0.7337,4,6.7652,0.5741
0.6586,0.7773,0.0807,0.9182,0.5893,2,1.1085,0.7617
0.7915,0.9499,0.2584,0.8247,0.8873,4,0.5637,0.821
0.9398,0.9335,0.7491,0.5669,0.6811,2,1.7745,0.5822
0.6384,0.9657,0.2596,0.9538,0.7548,4,3.5082,0.7352
0.8978,0.913,0.2417,0.405,0.9141,5,4.6409,0.5571
0.9516,0.9523,0.3423,0.7691,0.7019,5,4.7493,0.6136
0.8715,0.8438,0.4271,0.8996,0.7547,5,7.9522,0.5724
0.6265,0.8234,0.1539,0.555,0.9168,3,3.8695,0.5887
0.9536,0.9503,0.5226,0.6294,0.6159,3,0.884,0.7466
0.9389,0.8809,0.358,0.5377,0.5684,1,7.8711,0.6194
0.761,0.9646,0.1402,0.6919,0.8347,5,5.9399,0.676
0.6807,0.8158,0.3487,0.9452,0.4519,3,1.9933,0.6344
0.9782,0.6452,0.7952,0.6638,0.5567,4,2.7009,0.5399
0.903,0.8379,0.4204,0.5279,0.9426,2,7.1631,0.6042
0.8256,0.5972,0.4456,0.9432,0.7999,1,7.6174,0.5759
0.8445,0.7271,0.1452,0.9799,0.7666,1,4.4223,0.6973
0.7357,0.8669,0.3647,0.6899,0.7566,2,1.4614,0.7177
0.5729,0.6318,0.3934,0.8546,0.7804,3,2.0509,0.6315
0.5476,0.8207,0.3174,0.8876,0.8176,3,6.2198,0.5988
0.8774,0.916,0.3204,0.6547,0.6523,1,6.965,0.6609
0.836,0.7154,0.8669,0.7815,0.6511,3,3.1767,0.4959
0.7664,0.7746,0.3206,0.5067,0.5596,1,2.4234,0.6592
0.9622,0.8945,0.8774,0.4849,0.6087,4,4.6722,0.5199
0.9653,0.9084,0.9528,0.6418,0.731,2,3.3356,0.6269
0.8669,0.9065,0.3543,0.8361,0.7422,3,1.791,0.7603
0.844,0.7614,0.4571,0.5621,0.2362,2,0.8807,0.6011
0.9647,0.8889,0.9715,0.9369,0.6277,4,3.9567,0.5268
0.8377,0.9588,0.8312,0.6763,0.4682,2,2.691,0.5024
