foir,disposable_income,liquidity_score,label
0.4875,43092.98,0.9653,0.7493
0.0413,6524.21,0.3511,0.5982
0.4551,61932.61,0.6196,0.6805
0.4053,26899.18,0.8994,0.6903
0.4482,72060.65,0.5427,0.6346
0.6508,84378.32,0.9396,0.6647
0.222,93629.64,0.6629,0.8137
0.7071,14763.63,0.6962,0.4299
0.7332,-11302.49,0.4399,0.2478
0.2764,32847.5,0.6021,0.6419
0.1814,49588.6,0.313,0.6657
0.501,86923.1,0.9185,0.6614
0.4487,-6183.33,0.8006,0.5132
1.0,90024.8,0.6277,0.3907
0.6288,92345.34,0.5843,0.5968
0.9421,92636.96,0.7002,0.3986
0.257,99019.96,0.5939,0.7666
0.5587,88785.44,0.6942,0.6049
0.786,31489.9,0.702,0.4603
0.4531,67095.16,0.8766,0.7439
0.671,4594.52,0.3913,0.3365
0.6888,78664.1,0.4843,0.4444
0.3841,37957.31,0.7885,0.6512
0.4866,7680.79,0.4187,0.4232
0.4325,60083.44,0.5758,0.6786
0.7191,68487.03,0.6218,0.5007
1.0,14502.18,0.7343,0.1784
0.6345,31734.97,0.6704,0.51
0.5792,7859.14,0.8189,0.4926
0.6532,-532.75,0.5779,0.3311
0.6782,40212.1,0.7514,0.5429
0.5765,34895.09,0.8833,0.6331
0.4861,91051.39,0.8722,0.7094
0.7231,35677.03,0.9378,0.5244
0.8957,68196.19,0.586,0.4377
0.758,43025.28,0.7069,0.5224
1.0,-19529.05,0.533,0.1518
0.5063,83664.95,0.3706,0.5516
0.5448,67721.16,0.4747,0.5535
0.1327,75038.87,0.8028,0.884
0.4269,60831.59,0.6968,0.6674
0.7248,87276.21,0.4848,0.5494
0.9126,50110.89,0.4392,0.3549
0.3292,22551.88,0.6699,0.6188
0.6093,-7191.28,0.8915,0.4632
0.9893,35520.56,0.4026,0.2892
0.2837,32399.69,0.6874,0.7207
0.9133,86147.86,0.6818,0.4244
0.2862,-2235.41,0.6641,0.5384
0.3288,-9251.33,0.4746,0.5188
0.8321,27264.88,0.8283,0.4527
0.1445,64905.23,0.8905,0.8657
0.5417,55263.99,0.8453,0.6995
1.0,87941.49,0.6385,0.3818
0.4381,17087.94,0.7998,0.5755
0.7739,71285.99,0.7909,0.5342
0.1871,-5469.51,0.4471,0.5783
0.4448,49589.9,0.9231,0.7834
1.0,69274.65,0.644,0.3926
0.2465,56067.71,0.7945,0.8316
0.189,2186.26,0.7443,0.6409
0.5897,97472.83,0.5453,0.573
0.1452,48131.9,0.9768,0.8933
0.139,99846.56,0.673,0.7925
0.1403,27908.63,0.6914,0.8275
0.6749,61873.18,0.6572,0.5621
0.3134,75130.83,0.7047,0.7124
0.424,66113.67,0.9459,0.775
0.4027,56564.03,0.8533,0.7119
0.4335,97638.46,0.8242,0.7867
0.6123,93117.59,0.6053,0.5879
0.4161,-9598.69,0.5365,0.4113
0.1611,45334.66,0.7486,0.7788
0.8246,52296.14,0.7484,0.4845
0.3535,-16663.64,0.6399,0.5297
0.2751,61466.71,0.7354,0.8504
0.2548,80049.26,0.9382,0.8555
0.546,62710.96,0.6407,0.6634
0.2976,6246.22,0.8287,0.6468
0.8059,55162.73,0.8522,0.5635
0.1019,-13612.55,0.6229,0.6601
0.57,1446.55,0.6814,0.3964
0.5652,-3340.12,0.6764,0.3922
0.2126,36078.69,0.6541,0.7678
0.3145,69916.0,0.7891,0.8131
0.6652,-19152.88,0.6566,0.3617
0.9366,15863.97,0.6167,0.2935
0.456,43314.13,0.8073,0.7263
0.4837,34250.11,0.6832,0.6436
0.2637,41192.43,0.9697,0.8228
0.2169,9084.96,0.7482,0.6281
0.5012,79170.04,0.7985,0.6281
0.0927,1452.42,0.8019,0.6945
0.5929,22197.25,0.8254,0.5167
0.3711,94639.19,0.8154,0.8011
0.7128,42545.87,0.9081,0.5929
0.9182,75487.4,0.7634,0.464
0.3406,16770.84,0.7445,0.6244
0.0469,34253.94,0.7661,0.8497
0.5568,43853.84,0.551,0.5781
0.5448,52922.07,0.8986,0.7514
0.2632,52771.2,0.8149,0.8232
0.2128,66740.37,0.8658,0.8964
0.6894,36798.54,0.8017,0.5658
0.6412,-12907.92,0.8692,0.4607
0.2536,6057.91,0.7838,0.6911
0.4977,-10700.46,0.6673,0.4202
0.7019,66231.14,0.7106,0.5481
0.3818,97444.3,0.612,0.6924
0.2805,10382.33,0.7075,0.6432
0.3846,-5809.38,0.813,0.5204
0.2395,20752.52,0.8556,0.6764
0.4229,88490.68,0.5492,0.6397
0.3893,50840.56,0.832,0.7671
0.7398,-7714.97,0.7605,0.3933
0.8975,46502.1,0.7841,0.5318
0.3659,40630.6,0.8747,0.7616
0.6343,81272.89,0.3581,0.5129
0.71,36464.56,0.6402,0.4864
0.43,44157.06,0.8322,0.7384
0.5608,-7594.77,0.6582,0.4431
0.6718,31064.19,0.5703,0.4333
1.0,81431.26,0.5985,0.3379
0.8788,82552.65,0.668,0.5003
0.6552,-1102.69,0.4721,0.3394
0.8485,23502.58,0.8855,0.4263
0.2094,90458.18,0.7796,0.8449
0.3274,-10125.08,0.8607,0.5599
0.4715,99047.83,0.481,0.6067
0.4383,-12938.0,0.6006,0.522
0.214,86673.09,0.7064,0.8263
0.4505,-4299.08,0.8021,0.5836
0.3627,28914.02,0.4974,0.5952
0.3839,59081.4,0.9197,0.7988
0.9605,24844.56,0.7482,0.3543
0.5696,-9540.58,0.9308,0.4645
0.2365,29583.46,0.8738,0.7215
0.5492,-13019.29,0.8523,0.5435
0.711,-3234.79,0.8005,0.4243
0.2622,17359.13,0.9644,0.7403
0.5829,69562.0,0.664,0.667
0.6136,63671.59,0.8903,0.6336
0.4538,264.98,0.7472,0.5327
0.5672,1688.4,0.6077,0.3961
0.4577,16018.71,0.7906,0.5645
0.7948,58817.36,0.7778,0.528
0.3922,-1254.68,0.8187,0.5342
0.8973,38568.14,0.9091,0.4956
0.304,70410.91,0.6171,0.7482
0.347,-10793.86,0.4961,0.4797
0.781,29632.65,0.4685,0.4003
0.241,1298.43,0.5411,0.5798
0.9142,27953.51,0.4416,0.2738
0.6305,61281.16,0.492,0.5039
0.5299,8678.0,0.7172,0.4669
0.348,29839.13,0.2928,0.5758
0.4681,-4560.89,0.46,0.3566
0.5187,55296.76,0.6987,0.6322
0.3988,85006.42,0.8936,0.7754
0.2115,-18802.22,0.8928,0.7332
0.6154,61860.95,0.3018,0.4589
0.2894,36453.99,0.7711,0.7527
0.6424,-12213.9,0.6053,0.3706
0.3561,42851.32,0.6768,0.7449
0.6107,20984.88,0.6824,0.5056
0.7287,19541.82,0.9003,0.4857
0.3003,91614.12,0.7222,0.774
0.6122,92621.49,0.8911,0.6421
0.4163,-18779.49,0.5487,0.4364
0.3939,59955.36,0.4238,0.5948
0.2498,55763.13,0.5562,0.7108
0.1011,14084.65,0.7884,0.731
0.5895,89118.75,0.5963,0.564
0.7875,21565.47,0.5272,0.3405
0.7343,47626.42,0.7801,0.5609
0.695,37630.95,0.8379,0.5353
0.4082,94793.9,0.8203,0.7234
0.6555,47718.5,0.6097,0.5665
0.7975,-5957.32,0.7989,0.3308
0.1087,32600.91,0.8235,0.8423
0.7741,31433.24,0.9438,0.5304
0.5949,-19884.64,0.6523,0.4493
0.443,81581.63,0.9512,0.7722
0.1141,12465.53,0.6772,0.6777
0.2237,40313.64,0.8716,0.876
0.9074,41006.93,0.7655,0.4839
0.8901,60582.72,0.7285,0.4765
0.5735,78433.75,0.7022,0.6496
0.5044,-6894.74,0.4861,0.3865
0.3918,49338.82,0.874,0.7363
0.4259,67443.75,0.7603,0.6856
0.9473,79766.91,0.6286,0.425
1.0,53427.29,0.6352,0.4042
0.2225,4543.43,0.7695,0.6396
0.4331,36630.85,0.8927,0.7074
0.2083,32525.64,0.7034,0.7922
0.7303,84948.63,0.6058,0.5513
0.4674,51356.02,0.708,0.6861
0.1854,2721.15,0.7287,0.6325
0.7464,22653.29,0.849,0.4594
0.6699,93776.88,0.9009,0.6835
0.1402,9958.7,0.8778,0.7169
0.7458,83879.09,0.6162,0.5255
0.6912,41097.45,0.628,0.4907
0.4884,9305.18,0.8948,0.5354
0.4765,43655.92,0.7973,0.6836
0.901,-6787.8,0.5605,0.1927
0.477,94320.95,0.5152,0.5552
0.3568,29584.98,0.7328,0.6453
0.4077,1084.11,0.462,0.427
0.3315,24166.84,0.7239,0.5814
1.0,21658.77,0.6601,0.272
1.0,49548.64,0.8352,0.4655
0.9859,68697.37,0.8374,0.4269
0.4807,62226.7,0.7026,0.6185
0.4968,14737.57,0.8355,0.5341
0.8835,69306.37,0.8901,0.5217
0.611,10495.25,0.791,0.4826
0.5492,-11315.54,0.844,0.5446
0.3189,-7508.97,0.5599,0.4756
0.7681,-7531.54,0.798,0.3087
0.943,-11289.03,0.4254,0.1099
0.1552,-2299.84,0.2615,0.4913
0.8362,81656.53,0.3984,0.4647
0.8338,-16935.87,0.9372,0.3428
0.3296,39953.92,0.3631,0.6118
0.5363,70449.16,0.9239,0.7241
1.0,84752.74,0.5306,0.3916
0.8951,-13154.5,0.9111,0.3082
0.7559,70048.19,0.8395,0.5611
0.4441,-14327.25,0.8507,0.5314
0.4492,68485.28,0.5824,0.6905
0.3543,-14383.06,0.774,0.5821
0.5047,89356.64,0.817,0.6579
0.8717,-5015.1,0.9889,0.3596
0.7962,27535.36,0.8733,0.5041
0.6092,67553.35,0.9109,0.6498
0.4539,82910.54,0.7612,0.6962
0.9256,72898.61,0.7265,0.4203
0.3457,42788.77,0.4825,0.6593
0.3931,53177.7,0.7161,0.7289
0.4142,21487.11,0.3704,0.5306
0.6815,77161.6,0.732,0.576
0.4457,49110.83,0.6371,0.6448
0.8599,34086.37,0.8084,0.4788
0.6856,-6859.36,0.8335,0.3847
0.3731,-614.35,0.4539,0.4212
0.7239,1724.58,0.6698,0.3
0.7596,19323.02,0.4906,0.3766
0.435,24043.78,0.6957,0.6277
0.4914,99926.63,0.8966,0.7727
0.4775,24209.21,0.6904,0.5854
0.8721,81687.39,0.9751,0.5494
0.587,-5235.52,0.6286,0.4471
0.8178,40396.31,0.8925,0.5269
0.8242,-6211.11,0.8244,0.358
0.2388,33442.65,0.7238,0.7535
0.3393,18713.74,0.5272,0.5588
0.9387,65765.84,0.5969,0.4269
0.855,88045.59,0.6915,0.4759
0.5408,85761.58,0.6364,0.5759
0.2498,99949.71,0.6476,0.7904
0.3133,66314.75,0.4489,0.6625
0.7706,98957.89,0.8147,0.5654
0.5268,86959.6,0.4792,0.6261
0.1201,-12239.98,0.8669,0.7062
0.5548,26065.36,0.8196,0.5654
0.6877,6550.56,0.526,0.3817
0.6833,76774.65,0.8821,0.6016
0.9881,59871.3,0.8692,0.4888
0.7963,800.19,0.8445,0.4007
0.4736,71363.72,0.6362,0.6635
0.5928,10141.37,0.9244,0.5155
0.798,63989.51,0.9131,0.6255
0.3365,33958.26,0.8632,0.7502
0.2491,46666.78,0.9025,0.8745
0.5964,-5673.7,0.8186,0.4442
0.0965,51132.39,0.9497,0.9344
0.0485,87182.12,0.544,0.8088
0.5869,2125.34,0.847,0.4319
0.3881,94721.18,0.6768,0.7072
0.1767,83674.0,0.7059,0.859
0.4333,88174.43,0.8687,0.7714
0.5077,84604.36,0.7891,0.6416
1.0,54834.6,0.6999,0.4292
0.0549,47624.68,0.854,0.9333
0.543,67296.15,0.8337,0.6908
0.2803,18471.39,0.9631,0.7816
0.636,42169.38,0.578,0.4861
0.3247,3537.34,0.7187,0.5601
0.7514,8314.76,0.8896,0.384
0.6936,98814.68,0.6397,0.5368
0.1561,48567.02,0.7111,0.8806
0.557,6035.48,0.3351,0.3811
0.6696,69362.75,0.681,0.5702
0.3838,33635.85,0.6397,0.6683
0.3702,92941.1,0.6488,0.6586
0.5185,-217.34,0.5371,0.4093
0.2782,99433.69,0.6073,0.7024
0.348,75498.59,0.5383,0.7185
0.6631,51287.07,0.5996,0.5398
0.6798,65522.59,0.7589,0.6011
0.5249,66109.52,0.556,0.5504
0.9477,20237.92,0.6271,0.2323
0.1529,48513.68,0.5726,0.7484
0.2891,64960.01,0.5377,0.7557
0.3269,1348.69,0.7668,0.5608
0.5379,70570.67,0.5017,0.6055
1.0,-19812.21,0.6323,0.1968
0.2026,15689.32,0.7385,0.699
0.4298,89210.26,0.7071,0.6534
0.8437,74441.94,0.3985,0.408
0.3907,51911.86,0.6489,0.6918
0.5772,98954.14,0.8372,0.6451
0.8385,60220.73,0.7263,0.5233
0.3479,98748.32,0.3276,0.6693
0.5044,67317.62,0.7289,0.6871
0.659,93674.48,0.7479,0.6358
0.8642,91844.27,0.7505,0.465
0.4728,80420.75,0.6009,0.6547
0.1902,-13221.63,0.805,0.6622
0.4829,55719.79,0.8823,0.736
0.8423,45295.04,0.9178,0.4958
0.5736,19078.96,0.5796,0.4592
0.2162,79045.0,0.6124,0.7882
0.1709,14455.3,0.563,0.6125
0.3295,22383.22,0.721,0.6158
0.3157,62896.4,0.9408,0.8532
0.3861,45632.56,0.8919,0.7794
0.6395,29264.62,0.7588,0.4958
0.6824,42390.5,0.9766,0.6528
0.9494,45152.39,0.6653,0.3918
0.7415,-10474.48,0.444,0.2448
0.4983,92322.71,0.6579,0.657
0.2468,90385.28,0.7788,0.8271
0.6314,-249.27,0.7528,0.4704
0.191,22648.34,0.968,0.7841
0.242,97238.03,0.7858,0.7885
0.5692,69700.96,0.6906,0.6336
0.4332,26836.37,0.7411,0.6229
0.4309,6671.21,0.7112,0.5777
0.4528,36288.99,0.5837,0.6199
0.2014,18842.48,0.8245,0.7163
0.7081,14853.98,0.7931,0.4691
0.7212,28770.39,0.4393,0.3374
0.3467,48438.6,0.5507,0.7387
0.3833,36482.73,0.5987,0.6673
0.768,41856.57,0.6934,0.4881
0.5204,91591.95,0.8582,0.6801
0.17,68850.01,0.8463,0.8413
0.4435,26297.33,0.2944,0.4582
0.4451,94868.96,0.6163,0.6692
0.5564,97866.3,0.7624,0.6548
0.6327,55198.71,0.3136,0.432
0.2847,-14546.97,0.9309,0.6602
0.8157,38020.62,0.9293,0.5415
1.0,67005.44,0.611,0.4458
0.445,43683.39,0.3429,0.5561
0.3722,20316.66,0.7023,0.6412
0.2219,14873.28,0.6862,0.6389
0.7452,69851.3,0.7335,0.5219
0.5732,15035.33,0.8495,0.5217
0.7897,24381.83,0.8815,0.5117
0.76,24006.89,0.8102,0.4629
0.5887,-15028.25,0.8732,0.4522
0.7292,16930.06,0.7104,0.4108
0.5093,7031.71,0.8664,0.5449
0.8715,8285.5,0.628,0.2997
0.2342,55680.65,0.8649,0.8485
0.151,-17818.61,0.6555,0.573
0.5543,17941.31,0.7166,0.5471
0.4686,86504.79,0.8547,0.7345
0.568,-7862.25,0.6829,0.406
0.2908,28292.17,0.5657,0.6534
0.2936,17089.51,0.8994,0.6389
0.1785,20422.18,0.9424,0.7733
0.777,72399.69,0.7769,0.5435
0.2871,51951.41,0.8687,0.8311
0.1912,-6259.57,0.6408,0.568
0.6756,3079.93,0.7242,0.3724
0.725,61104.82,0.4941,0.495
0.3205,20978.39,0.3241,0.4902
0.2459,83570.64,0.9691,0.8655
0.8951,44940.08,0.8414,0.5005
0.7222,16822.36,0.7126,0.4649
0.5538,-1441.88,0.787,0.4402
0.3989,56147.05,0.6726,0.6703
0.5575,30049.79,0.8423,0.5189
0.7553,77798.01,0.6948,0.5183
0.3326,65348.93,0.6417,0.7099
0.4554,58502.22,0.9772,0.7552
0.2488,84556.49,0.507,0.7821
0.8319,13123.77,0.8101,0.4082
0.441,-17421.35,0.6791,0.5025
0.6983,94068.94,0.8445,0.627
0.2886,-7428.15,0.9137,0.6032
0.5612,-4955.29,0.8072,0.4968
0.578,86112.98,0.4406,0.4909
0.2738,24900.3,0.7014,0.6865
0.1345,43054.52,0.9486,0.8835
0.3691,26938.25,0.6024,0.5915
0.5203,7724.38,0.4157,0.4501
0.4045,34421.67,0.8292,0.6713
0.6624,14996.93,0.7923,0.5093
0.9817,55500.9,0.5639,0.3507
0.6099,-18366.68,0.9488,0.4835
0.4103,7242.55,0.6742,0.5298
0.6845,-6136.18,0.8098,0.4147
0.4575,81904.9,0.4984,0.6128
0.4616,-13701.81,0.9129,0.5242
0.7077,10005.84,0.5717,0.3692
0.9161,75750.98,0.4278,0.3724
0.4385,23381.34,0.8065,0.5665
0.5638,30811.77,0.6248,0.5202
0.5129,39805.08,0.6096,0.6382
0.535,54933.58,0.8125,0.6515
0.5966,-6078.85,0.7464,0.415
0.1701,-8911.02,0.7783,0.6777
0.6524,3046.75,0.8955,0.4683
0.3591,94283.82,0.7685,0.7542
0.2975,80629.83,0.5998,0.7726
0.5689,32522.47,0.4138,0.4143
0.4354,27490.68,0.8224,0.5997
0.1895,20552.8,0.4687,0.578
0.2545,18970.21,0.8672,0.7166
0.6937,5583.37,0.445,0.3094
0.6382,-18574.19,0.6144,0.3269
0.63,7290.61,0.7658,0.4352
0.4874,79573.64,0.8416,0.7521
0.3175,8970.36,0.7656,0.6163
0.5388,-6130.96,0.6244,0.3876
0.5155,92570.08,0.7862,0.6394
0.7016,4658.77,0.8518,0.4467
0.2559,56350.9,0.7756,0.8196
0.7716,-9316.41,0.3495,0.1836
0.4175,-3559.6,0.1155,0.3057
0.4459,62688.02,0.8579,0.7434
0.8751,7902.78,0.9694,0.3509
0.1435,-12139.33,0.8306,0.6249
0.145,84388.38,0.8091,0.7845
0.5994,52825.3,0.8378,0.6232
0.6037,74185.05,0.8073,0.6236
0.4819,-13913.02,0.5126,0.4709
0.2821,85222.82,0.4543,0.7119
0.8154,42846.71,0.494,0.3937
0.5396,37566.99,0.8072,0.6133
0.8983,7826.21,0.9038,0.3026
0.9598,98152.81,0.8214,0.452
0.6812,11989.92,0.6982,0.4553
0.1209,58001.42,0.847,0.8449
0.6664,58229.17,0.8936,0.63
0.4849,20873.34,0.7271,0.5224
0.5716,93665.68,0.4462,0.4934
0.1121,88650.57,0.4174,0.801
0.3578,67167.67,0.4236,0.721
0.6989,77290.05,0.942,0.637
0.2889,15828.26,0.7238,0.6138
0.6748,26150.8,0.5617,0.4819
0.106,52640.69,0.7905,0.8986
0.6563,64485.27,0.5835,0.4903
0.1671,90546.1,0.8735,0.8711
0.3222,17915.09,0.9595,0.7364
0.1391,55609.4,0.6258,0.8264
0.7721,26205.27,0.8477,0.4757
0.0761,83161.29,0.7124,0.9117
0.6701,87094.16,0.9047,0.6286
0.1919,-17300.52,0.9391,0.6962
0.5561,93928.66,0.5854,0.5927
0.1677,62893.75,0.9306,0.869
0.1504,13367.64,0.5924,0.6406
0.7574,92976.89,0.9107,0.5961
0.1749,39173.69,0.8992,0.8715
0.6788,11938.57,0.8731,0.4473
0.3842,8155.3,0.6239,0.5161
0.528,60828.8,0.841,0.6779
0.5119,-5285.68,0.5981,0.4451
0.6672,-13115.39,0.6961,0.4048
0.1849,33798.93,0.6807,0.796
0.1148,74348.13,0.7327,0.8544
0.4063,90004.25,0.4324,0.6312
0.1066,95525.33,0.557,0.7919
0.6509,55591.64,0.8156,0.5617
0.4373,36807.93,0.8069,0.6923
0.6484,72956.92,0.6149,0.5198
0.4879,80979.49,0.766,0.6678
0.7607,61761.26,0.5764,0.5051
0.7842,52378.86,0.7546,0.5574
0.5436,14551.2,0.7177,0.4773
0.6464,1111.83,0.7825,0.4054
0.9931,-17463.83,0.6875,0.2113
0.2764,13444.99,0.8741,0.6531
0.5179,81646.01,0.8103,0.6711
0.6997,50814.82,0.7672,0.5981
0.9783,31925.6,0.7009,0.3146
0.9745,85664.13,0.8438,0.4363
0.6174,73357.99,0.2888,0.4778
0.1381,22930.0,0.5433,0.7139
0.3757,-2770.04,0.5315,0.4382
1.0,43188.12,0.7025,0.3906
1.0,84638.39,0.5667,0.3413
0.5399,59886.45,0.4925,0.578
0.7056,43493.07,0.7123,0.5807
0.1326,59406.65,0.7139,0.8605
0.7189,-12127.45,0.7285,0.3554
0.8595,37728.9,0.5338,0.4319
0.5947,97539.11,0.5005,0.5885
0.8448,12390.85,0.8044,0.3339
0.2355,-9984.75,0.9687,0.6251
0.282,-6499.33,0.6996,0.5772
0.2915,12883.61,0.8761,0.6536
0.4384,80487.12,0.3349,0.5348
0.6949,67469.03,0.4394,0.5244
0.5131,47410.83,0.4934,0.5492
0.1302,82033.34,0.7766,0.9256
1.0,96750.65,0.6883,0.4436
1.0,7279.68,0.7957,0.2722
1.0,-12467.79,0.9176,0.2779
0.5059,88200.86,0.636,0.6361
0.2006,68463.84,0.9101,0.8799
1.0,34858.53,0.6648,0.343
0.0435,40828.45,0.7309,0.8706
0.4541,79310.28,0.6871,0.6486
0.267,23485.64,0.7642,0.6952
0.9313,87436.87,0.7205,0.4815
0.7117,50907.7,0.8016,0.5761
1.0,-8475.61,0.7977,0.2235
0.1326,68226.92,0.9125,0.9448
0.1807,32271.16,0.7349,0.7408
0.472,-4069.56,0.7344,0.5332
0.4142,89644.94,0.6222,0.6551
0.5404,-8371.9,0.759,0.465
0.4336,96119.07,0.4256,0.6177
0.2692,58012.83,0.6328,0.7119
0.5073,14155.36,0.9283,0.5361
0.5389,-18229.26,0.9548,0.4913
0.7168,15853.87,0.4405,0.3501
0.3326,40164.82,0.8478,0.7947
0.7848,-1159.87,0.7346,0.3318
0.7454,-5349.82,0.7038,0.3877
0.0468,55834.04,0.5098,0.8372
0.6235,72916.28,0.6907,0.5384
0.5148,82092.53,0.9394,0.7205
0.8013,77562.0,0.501,0.4866
0.5076,26724.54,0.752,0.6011
0.7484,68708.46,0.636,0.5359
0.7086,37470.77,0.8548,0.5678
0.3243,8718.02,0.6099,0.5192
0.0694,90028.82,0.6547,0.8313
0.1765,52717.0,0.7009,0.8347
0.1284,-16454.89,0.7244,0.5721
0.5387,63087.55,0.6521,0.6575
0.9619,98223.5,0.8708,0.4495
0.0271,40503.84,0.7017,0.8452
0.4971,33950.42,0.826,0.6093
0.7935,-15045.48,0.4764,0.2636
0.9045,78391.08,0.8568,0.4895
0.4399,34944.34,0.9452,0.7932
0.7116,15717.34,0.5548,0.4159
0.0868,5397.68,0.648,0.6923
0.0978,39578.99,0.7336,0.819
0.8256,32753.06,0.8956,0.511
0.4505,95857.35,0.8524,0.6929
0.154,83682.57,0.9455,0.9723
0.5924,71676.83,0.7114,0.623
0.228,81099.92,0.7662,0.7868
0.4483,35586.87,0.5896,0.5831
0.5815,-7494.38,0.7605,0.4417
0.2289,42968.45,0.5751,0.7516
0.6491,12242.22,0.8093,0.5092
0.8634,55227.59,0.8761,0.5101
0.8454,73982.59,0.9806,0.546
0.7636,92259.04,0.6471,0.5244
0.2852,67261.46,0.9242,0.8568
0.6433,62382.21,0.9268,0.6426
0.484,-14498.12,0.6021,0.4888
0.5675,94056.76,0.7778,0.6167
0.4676,60844.5,0.6608,0.6716
0.3192,45932.12,0.7311,0.7336
0.6652,21311.8,0.7978,0.5473
0.4772,14471.95,0.8223,0.6056
0.4468,39866.35,0.6465,0.6511
0.4138,12873.72,0.4983,0.4675
0.6517,-18779.3,0.6153,0.397
0.7873,49472.82,0.7596,0.54
0.5187,36380.06,0.7845,0.6059
0.6489,43454.99,0.7163,0.5881
0.3467,13027.95,0.9644,0.6306
